#{"t_start": 1784919387.0045087, "env_id": "LunarLander-v3"}
r,l,t
-101.307453,212,30.187466
-2.785569,235,30.302309
-48.690925,235,30.417885
-66.402357,167,30.514242
25.657566,207,30.619105
-73.765244,164,30.700626
-7.58739,278,31.608013
-41.810467,221,31.719773
-45.968463,313,31.874482
-296.943538,177,31.968687
16.015886,208,32.070636
-191.826989,246,32.204298
-3.695245,1000,33.499536
-241.855198,178,33.588543
6.342452,200,33.688511
-89.857025,192,33.78319
-93.970717,132,33.849917
-100.975463,145,33.927296
-14.872154,312,34.098562
-156.925523,255,34.228149
-224.422539,246,34.358513
-187.725299,261,35.383883
-43.484415,311,35.566193
11.155197,1000,36.188822
-213.469267,484,36.503443
-8.531411,150,37.480055
-29.18291,238,37.634431
-83.352247,269,37.841437
21.671665,1000,38.493749
-106.398006,299,38.662439
-16.205215,1000,40.069359
-143.752435,238,40.186902
-27.678825,135,40.255973
-239.982678,265,40.391811
-159.929475,206,40.503708
-123.060373,223,40.630967
-137.062709,186,41.547189
-264.135046,313,41.711739
-53.122071,348,41.914857
-75.319718,462,42.220031
-23.49283,283,42.378617
-101.138447,328,42.588289
-27.543232,209,42.720983
-69.307016,266,43.623397
-232.149614,289,43.770851
0.867674,1000,44.338216
-204.460704,262,44.46834
-20.213659,309,45.360527
-107.471743,357,45.544713
-22.173248,334,45.710254
-103.766785,342,45.880259
-188.991361,320,46.037906
-17.909805,217,46.152009
-20.512006,243,46.278138
-158.483164,316,47.185093
-42.064687,271,47.321333
-136.075712,226,47.436574
-306.199236,714,47.808844
-22.929919,287,47.955661
-172.114658,369,48.144606
-56.546055,1000,49.393589
-15.101098,1000,49.893882
42.234419,1000,51.12281
38.409733,1000,51.664502
-155.494473,677,52.850519
-30.195317,1000,53.412297
-22.155064,1000,54.687507
37.407977,1000,55.20714
88.870382,1000,56.464072
-13.775742,400,56.689333
67.20525,1000,57.302386
75.741968,1000,58.643342
-5.692702,1000,59.168719
92.995442,1000,60.44967
77.354652,1000,61.027749
-84.342075,476,62.147357
62.084205,1000,62.773542
-195.03943,751,63.198633
-230.421746,620,64.270325
67.069559,1000,64.83306
107.650528,1000,66.357474
-177.670103,626,66.700884
119.390644,1000,68.186105
7.421051,221,68.328072
112.638763,1000,68.934451
30.686221,1000,70.255964
97.642594,1000,70.824845
12.817845,342,71.002857
78.719581,1000,72.339156
141.706737,1000,72.906764
-0.194433,430,73.125479
-5.339792,435,74.093479
-4.254489,309,74.252411
105.175722,1000,74.787015
130.300467,1000,76.124061
-60.911237,592,76.440547
175.777828,603,76.763157
-46.758025,437,77.775432
86.100111,1000,78.361991
138.177418,788,78.818428
162.055187,631,79.879739
-30.258781,279,80.021415
203.089638,773,80.436531
75.758901,1000,81.72634
50.838321,1000,82.27014
183.486185,947,83.593205
84.49541,1000,84.186498
65.337767,1000,85.732704
219.988281,607,86.035834
190.744387,495,86.338125
180.451727,703,87.683402
149.856011,843,88.146293
12.675245,293,88.296231
189.127171,952,89.575756
220.167408,477,89.828741
-53.235526,486,90.076859
216.320403,590,90.366879
-74.80162,541,91.386193
204.238639,535,91.651136
-90.952973,1000,92.183586
193.913369,711,93.420334
155.334432,623,93.759775
-105.776815,706,94.173912
122.228162,920,95.474782
227.080503,560,95.771555
95.62086,925,97.084295
-40.182554,531,97.394799
184.277489,716,97.826365
212.080395,616,98.20029
94.007257,877,99.452611
42.355327,1000,99.995256
153.56213,583,101.201731
137.567151,996,101.760279
91.856085,907,103.087231
196.593417,661,103.477136
224.172908,486,103.773329
196.6239,571,104.106846
185.323753,606,105.29244
206.154088,628,105.647304
63.3555,1000,106.282706
165.881343,933,107.810193
213.940953,499,108.136635
226.202793,532,108.54088
167.157223,567,109.971368
170.449395,693,110.459166
214.034595,417,110.782007
-49.037791,532,112.123397
220.34326,479,112.474903
162.251247,585,112.854085
210.729978,601,113.325128
-37.191423,499,114.624546
200.74107,575,115.027851
130.712185,494,115.437796
-36.912037,501,115.847965
-71.868586,531,117.04918
5.597871,463,117.322593
200.173658,464,117.604388
217.828169,674,117.958067
31.290933,1000,119.418373
-76.167923,418,119.659037
176.344709,750,120.069259
213.691679,590,121.219692
186.991201,614,121.585666
80.480451,1000,123.01378
121.645713,655,123.387641
142.919203,642,123.767712
186.674173,553,124.065396
173.377613,702,125.327593
182.112054,623,125.700455
157.51442,648,126.048469
164.643424,675,127.284413
174.627773,791,127.743068
115.900369,695,128.147483
123.752938,710,129.411142
146.036745,701,129.800278
-63.80319,697,130.178631
-13.082266,427,131.205136
196.21075,581,131.505589
170.885177,623,131.826396
175.415589,592,132.936368
203.855179,527,133.212095
214.210151,576,133.527523
185.115098,586,133.849901
213.128119,508,134.89664
158.620663,595,135.198863
-61.170401,467,135.437484
177.985389,581,135.738275
-141.785528,577,136.78775
196.740144,482,137.02598
215.165503,587,137.315675
-50.313246,451,137.531814
191.718088,563,138.555116
241.870982,628,138.863175
107.05195,547,139.13389
199.215242,613,140.176253
215.501213,453,140.400994
230.658852,384,140.604573
209.671489,766,141.005738
265.048231,540,142.015152
207.583315,524,142.288125
-139.42361,392,142.489242
211.140624,494,142.74931
230.730957,484,143.741797
236.677647,406,143.961183
12.305375,315,144.130753
-58.960793,859,144.593675
